id,owner,timestamp,type,version,bench reference,crate weight timestamp,crop name,weight in kilograms
70734,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B01123,2024-01-09 14:13:09+00:00,Incise leaf green,3.2843166679595943
70735,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B01022,2024-01-09 14:17:42+00:00,Crisp leaf green,2.347804427992838
70736,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B01203,2024-01-09 14:17:42+00:00,Crisp leaf green,3.256560731068468
70737,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B00315,2024-01-09 14:17:42+00:00,Crisp leaf green,2.8893417825433088
70738,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B00268,2024-01-09 15:06:52+00:00,Crisp leaf green,14.794603094724408
70739,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B00181,2024-01-09 15:06:52+00:00,Crisp leaf green,12.802953131419118
70740,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B00176,2024-01-09 15:06:52+00:00,Crisp leaf green,-0.18507546983615392
70741,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B00073,2024-01-09 15:06:52+00:00,Crisp leaf green,0.47553073167739207
70742,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B01141,2024-01-09 15:06:52+00:00,Crisp leaf green,-0.9013445701838614
70743,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B00125,2024-01-09 15:21:21+00:00,Crisp leaf green,3.3442672227913257
70744,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B01027,2024-01-09 15:21:21+00:00,Crisp leaf green,3.485552456765248
70745,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B01207,2024-01-09 15:21:21+00:00,Crisp leaf green,3.1820101165468375
70746,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B00263,2024-01-09 15:21:21+00:00,Crisp leaf green,3.8434525105677304
70747,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B01248,2024-01-09 15:43:32+00:00,Incise leaf green,2.7638797760009766
70748,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B00193,2024-01-09 17:16:36+00:00,Crisp leaf green,3.5761273936955544
70749,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B01115,2024-01-09 17:16:36+00:00,Crisp leaf green,2.940274196411512
70750,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B00756,2024-01-09 17:16:36+00:00,Crisp leaf green,3.201366727922866
70751,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B00576,2024-01-09 17:16:36+00:00,Crisp leaf green,2.840731971887061
70752,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B01153,2024-01-09 17:26:33+00:00,Crisp leaf green,6.783319121946341
70753,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B00701,2024-01-09 17:26:33+00:00,Crisp leaf green,7.316357963930125
70754,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B00436,2024-01-09 17:29:37+00:00,Incise leaf green,4.010005703018907
70755,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B00794,2024-01-09 17:29:37+00:00,Incise leaf green,3.7417068576347794
70756,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B00473,2024-01-09 17:32:36+00:00,Crisp leaf green,4.147603750228882
70757,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,,2024-01-09 17:33:34+00:00,Crop not found,-0.08229327201843262
70758,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B01184,2024-01-09 17:53:06+00:00,Incise leaf green,3.8132996559143066
70759,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B00086,2024-01-09 18:54:36+00:00,Incise leaf green,3.592405319213867
70760,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,,2024-01-09 18:55:44+00:00,Crop not found,0.012462139129638672
70761,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B00143,2024-01-09 19:02:48+00:00,Crisp leaf green,3.3566134791206754
70762,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B01102,2024-01-09 19:02:48+00:00,Crisp leaf green,2.6256964131358136
70763,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B00561,2024-01-09 19:02:48+00:00,Crisp leaf green,4.136879856777288
70764,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B00360,2024-01-09 19:02:48+00:00,Crisp leaf green,11.772448768345985
70765,benchWeightEventTask,2024-01-25 14:19:26,BENCH_WEIGHT,2,B01026,2024-01-09 19:04:13+00:00,Red Bonarda,1.0784683227539062
